NormalizedDate,2024_French Senate election_FRFNN,2023_Spanish general election_IBEXIB,2023_Dutch general election_NLFIN,2023_Polish parliamentary election_BNKI,2023_Greek legislative election_FTATBNK,2023_Finnish parliamentary election_N3020PI,2023_Italian local elections_FTITLMS30,2023_Spanish local elections_IBEXIB,2023_Spanish regional elections_IBEXIB,2022_United States elections_NYK,2022_French presidential election_FRFNN,2022_French legislative election_FRFNN,2022_Swedish general election_SX3010GI,2022_Italian general election_FTITLMS30,2021_German federal election_CXPVX,2021_Norwegian parliamentary election_OFING,2021_Dutch general election_NLFIN,2020_United States presidential election_NYK,2020_United States Senate elections_NYK,2020_United States House of Representatives elections_NYK,2019_Spanish general election_IBEXIB_x,2019_Spanish general election_IBEXIB_y,2019_Portuguese legislative election_PTFIN,2019_Greek legislative election_FTATBNK,2019_Belgian federal election_BEFIN,2019_Danish general election_OMXC20,2019_Finnish parliamentary election_N3020PI,2019_Spanish general election_IBEXIB,2018_Swedish general election_SX3010GI,2018_Italian general election_FTITLMS30,2017_German federal election_CXPVX,2017_French presidential election_FRFNN,2017_French legislative election_FRFNN,2017_United Kingdom general election_TRINMX302020,2017_Dutch general election_NLFIN,2016_United States presidential election_NYK,2016_United States Senate elections_NYK,2016_United States House of Representatives elections_NYK,2016_Spanish general election_IBEXIB,2016_United Kingdom Brexit_TRINMX302020,2015_Portuguese legislative election_PTFIN,2015_Spanish general election_IBEXIB,2015_United Kingdom general election_TRINMX302020,2014_Swedish general election_SX3010GI,2014_Belgian federal election_BEFIN,2013_German federal election_CXPVX,2013_Italian general election_FTITLMS30,2013_Norwegian parliamentary election_OFING
24,946.03,623.8,628.67,9557.08,1028.83,3155.63,15139.2,586.5,586.5,9012.6,808.45,692.31,2654.54,11160.8,2781.57,2773.56,560.15,8031.3,8031.3,8031.3,537.3,495.8,57.77,828.24,845.34,1002.51,2070.44,537.3,2352.9,14204.78,1872.26,945.79,968.86,4885.53,670.81,6755.6,6755.6,6755.6,546.5,3897.81,82.25,649.2,4341.06,1757.38,590.48,866.47,10496.77,855.77
25,946.03,624.6,628.67,9858.62,1024.88,3188.72,15145.6,579.0,579.0,9012.6,796.22,708.59,2631.71,11262.9,2784.84,2784.31,560.15,8031.3,8031.3,8031.3,532.2,494.6,57.86,811.65,834.68,1002.51,2000.19,532.2,2337.82,14253.81,1856.5,936.34,972.01,4865.93,670.81,6755.6,6755.6,6755.6,552.5,3954.3,84.94,642.7,4349.1,1733.8,598.42,871.65,10495.61,860.93
26,946.03,623.6,625.2,9764.72,1019.46,3219.16,14956.0,567.4,567.4,9012.6,779.64,719.49,2611.66,11276.6,2792.51,2784.31,558.8,8031.3,8031.3,8031.3,534.6,500.6,57.9,787.61,829.55,1019.9,2018.26,534.6,2330.88,14253.81,1849.87,947.23,972.21,4835.65,670.64,6755.6,6755.6,6755.6,550.8,3973.14,83.72,622.4,4340.48,1719.0,591.34,880.77,10550.22,858.95
27,946.03,623.6,624.43,9764.72,1019.46,3219.16,14864.4,567.4,567.4,8810.3,779.64,719.49,2611.66,11276.6,2792.51,2784.31,555.27,7887.9,7887.9,7887.9,534.6,500.6,57.9,787.61,829.55,1025.72,2018.26,534.6,2330.88,14253.81,1849.87,947.23,972.21,4905.5,671.33,6832.1,6832.1,6832.1,550.8,3995.14,83.72,622.4,4361.22,1719.0,591.34,880.77,10550.22,858.95
28,946.03,623.6,624.53,9764.72,1019.46,3219.16,14964.9,567.4,567.4,8725.3,779.64,719.49,2611.66,11276.6,2792.51,2787.72,560.26,8025.7,8025.7,8025.7,534.6,500.6,57.9,787.61,829.55,1037.21,2018.26,534.6,2330.88,14253.81,1849.87,947.23,972.21,4909.94,669.7,6915.5,6915.5,6915.5,550.8,3984.97,83.72,622.4,4310.21,1719.0,591.34,880.77,10550.22,858.95
29,946.03,625.4,621.42,9758.61,1006.19,3219.16,14964.9,570.8,570.8,8696.9,766.13,706.41,2593.5,11469.7,2764.85,2790.05,555.37,8073.9,8073.9,8073.9,536.7,499.1,59.29,723.4,827.25,1030.68,1983.25,536.7,2311.13,14253.81,1830.66,947.99,974.1,4911.3,667.16,7039.0,7039.0,7039.0,542.1,3975.89,86.75,613.5,4231.19,1711.03,584.46,884.32,10097.7,853.78
30,946.03,627.8,622.23,10303.46,993.01,3157.69,14964.9,583.4,583.4,8725.5,775.34,710.95,2598.87,11544.6,2775.16,2791.43,561.84,8078.6,8078.6,8078.6,537.5,496.5,60.16,707.81,827.59,1019.79,2021.17,537.5,2297.12,14272.31,1814.4,954.95,970.39,4911.3,667.16,7097.9,7097.9,7097.9,537.3,3975.89,85.57,609.2,4231.19,1713.44,578.53,888.11,9928.5,847.86
31,946.03,621.3,622.23,10137.38,995.9,3169.63,14948.6,593.5,593.5,8711.6,789.46,698.93,2602.55,11656.3,2778.34,2831.98,561.84,8194.2,8194.2,8194.2,533.1,495.6,59.51,701.23,833.88,1019.79,2029.56,533.1,2295.89,14232.13,1801.83,959.31,976.76,4911.3,667.16,7096.6,7096.6,7096.6,549.9,3975.89,87.58,585.1,4231.19,1654.2,580.29,879.92,9795.82,848.02
32,946.03,625.6,622.23,10302.25,977.76,3149.33,14955.7,601.4,601.4,8711.6,784.15,679.62,2624.93,11874.2,2761.4,2840.06,561.84,8194.2,8194.2,8194.2,540.6,513.9,61.36,711.33,838.57,1019.79,2061.17,540.6,2237.49,14519.64,1819.49,958.77,984.47,4920.84,667.16,7096.6,7096.6,7096.6,530.5,4006.01,84.12,601.8,4203.21,1648.28,581.41,881.82,9843.73,860.53
33,946.03,624.4,622.23,10421.64,982.57,3209.96,14913.9,607.3,607.3,8711.6,798.65,686.77,2659.17,11884.1,2698.77,2840.06,561.37,8194.2,8194.2,8194.2,524.9,515.3,61.76,701.08,843.78,1016.85,2047.83,524.9,2225.26,14483.05,1830.93,952.25,978.76,4873.53,667.16,7096.6,7096.6,7096.6,545.5,3991.97,84.34,623.7,4175.29,1722.62,582.17,881.34,9843.73,866.43
34,946.03,624.4,622.23,10421.64,982.57,3209.96,14945.8,607.3,607.3,8805.1,798.65,686.77,2659.17,11884.1,2698.77,2840.06,548.82,8127.0,8127.0,8127.0,524.9,515.3,61.76,701.08,843.78,1013.9,2047.83,524.9,2225.26,14483.05,1830.93,952.25,978.76,4902.1,661.44,7043.4,7043.4,7043.4,545.5,4046.11,84.34,623.7,4234.88,1722.62,582.17,881.34,9843.73,866.43
35,946.03,624.4,625.31,10421.64,982.57,3209.96,15050.4,607.3,607.3,8848.3,798.65,686.77,2659.17,11884.1,2698.77,2852.58,547.16,8121.8,8121.8,8121.8,524.9,515.3,61.76,701.08,843.78,1015.75,2047.83,524.9,2225.26,14483.05,1830.93,952.25,978.76,4937.77,670.83,7067.1,7067.1,7067.1,545.5,3989.91,84.34,623.7,4257.93,1722.62,582.17,881.34,9843.73,866.43
36,946.03,637.7,622.82,10538.06,953.14,3213.14,15050.4,615.6,615.6,8762.5,798.05,698.44,2713.68,11989.5,2704.53,2864.7,546.4,8106.1,8106.1,8106.1,521.8,525.4,61.24,667.06,853.29,1007.39,2015.63,521.8,2238.52,14563.7,1834.06,950.27,976.71,4924.68,670.81,6992.6,6992.6,6992.6,530.5,4043.32,77.87,598.0,4208.85,1716.46,578.1,876.12,9843.73,870.97
37,946.03,640.4,623.77,10475.23,961.0,3159.4,15050.4,606.3,606.3,8580.3,814.11,714.42,2777.59,12073.8,2717.73,2885.28,548.58,8102.8,8102.8,8102.8,536.3,522.0,61.28,655.85,852.8,993.22,2024.89,536.3,2270.17,14577.73,1834.06,938.01,966.61,4924.68,673.25,7027.8,7027.8,7027.8,504.0,4043.32,77.37,617.2,4208.85,1788.58,586.69,870.7,9960.96,881.04
38,946.03,642.1,623.77,10464.64,975.71,3153.88,14765.0,601.1,601.1,8504.8,811.37,716.2,2885.11,12151.1,2740.41,2911.32,548.58,8036.4,8036.4,8036.4,530.6,526.7,60.22,617.55,863.11,993.22,2023.86,530.6,2223.28,14417.61,1851.55,929.19,969.62,4924.68,673.25,7000.8,7000.8,7000.8,504.9,4043.32,77.22,616.2,4208.85,1790.8,590.1,873.36,9658.14,884.6
39,946.03,630.1,623.77,10399.29,1019.67,3165.53,14771.8,589.0,589.0,8504.8,805.31,717.6,2863.08,12163.6,2794.1,2932.18,548.58,8036.4,8036.4,8036.4,522.7,531.1,60.19,617.55,869.23,993.22,1989.33,522.7,2178.47,14635.69,1853.97,935.9,966.99,4954.52,673.25,7000.8,7000.8,7000.8,518.0,4004.89,77.21,597.9,4132.13,1806.61,598.93,864.84,9635.12,890.36
40,946.03,622.5,623.77,10365.04,1009.03,3162.02,14337.4,594.4,594.4,8504.8,808.87,712.34,2889.28,12495.4,2757.99,2932.18,558.08,8036.4,8036.4,8036.4,520.6,532.1,59.95,616.24,868.82,996.77,2012.97,520.6,2203.52,14630.25,1870.88,940.96,957.79,4997.94,699.08,7000.8,7000.8,7000.8,532.4,3999.07,78.04,619.5,4142.48,1807.64,593.4,866.84,9794.34,895.58
41,946.03,622.5,624.95,10365.04,1009.03,3162.02,14434.5,594.4,594.4,8470.2,808.87,712.34,2889.28,12495.4,2757.99,2932.18,555.3,7986.1,7986.1,7986.1,520.6,532.1,59.95,616.24,868.82,1001.24,2012.97,520.6,2203.52,14630.25,1870.88,940.96,957.79,5025.85,698.69,7005.5,7005.5,7005.5,532.4,3988.01,78.04,619.5,4101.76,1807.64,593.4,866.84,9794.34,895.58
42,946.03,622.5,618.4,10365.04,1009.03,3162.02,14465.5,594.4,594.4,8535.2,808.87,712.34,2889.28,12495.4,2757.99,2919.67,557.84,8108.3,8108.3,8108.3,520.6,532.1,59.95,616.24,868.82,1002.15,2012.97,520.6,2203.52,14630.25,1870.88,940.96,957.79,5070.31,698.29,7059.8,7059.8,7059.8,532.4,4050.84,78.04,619.5,4115.59,1807.64,593.4,866.84,9794.34,895.58
43,946.03,621.3,619.75,10252.38,1029.25,3176.75,14465.5,594.8,594.8,8653.4,810.64,720.39,2933.24,12680.4,2738.33,2896.27,560.7,8112.3,8112.3,8112.3,532.4,524.0,58.87,670.38,864.19,1002.45,2004.54,532.4,2179.27,14675.59,1868.04,935.48,961.87,5078.87,695.82,7031.5,7031.5,7031.5,539.7,4118.46,78.64,606.7,4142.9,1807.55,588.56,864.98,9792.52,901.51
44,946.03,617.0,619.44,10489.9,1027.59,3137.89,14465.5,605.3,605.3,8577.3,805.65,715.43,2947.83,12708.8,2751.96,2919.75,560.25,8150.8,8150.8,8150.8,526.8,522.8,59.44,667.72,858.51,998.17,1996.81,526.8,2179.32,14888.09,1872.16,928.71,974.3,5078.87,695.36,7008.5,7008.5,7008.5,547.2,4118.46,81.4,578.6,4142.9,1832.16,575.2,866.5,10002.44,922.21
45,946.03,603.1,619.44,10601.49,1025.0,3094.2,14392.0,621.2,621.2,8633.1,809.65,722.4,2883.68,12764.0,2745.23,2905.92,560.25,8079.0,8079.0,8079.0,520.3,522.8,58.76,690.86,861.78,998.17,1975.44,520.3,2175.76,14973.16,1881.78,950.62,980.36,5078.87,695.36,7011.9,7011.9,7011.9,553.0,4118.46,82.84,557.8,4142.9,1840.28,576.89,865.64,10500.43,920.82
46,946.03,596.4,619.44,10545.9,1019.47,3094.2,14321.8,622.2,622.2,8633.1,820.8,728.3,2919.59,12963.2,2737.68,2887.59,560.25,8079.0,8079.0,8079.0,519.6,522.8,58.18,716.19,862.95,998.17,1975.44,519.6,2189.62,15029.82,1872.82,954.57,982.4,5036.29,695.36,7011.9,7011.9,7011.9,555.9,4162.76,81.46,585.1,4219.46,1849.37,569.82,865.84,10584.55,952.45
47,946.03,601.3,621.28,10929.33,1023.28,3169.05,14047.1,618.2,618.2,8633.1,829.85,745.43,2961.53,12922.2,2751.93,2887.59,562.06,8079.0,8079.0,8079.0,515.8,521.6,58.38,690.83,864.69,1001.7,1950.09,515.8,2162.87,15135.6,1869.24,963.4,976.72,5032.75,695.36,7011.9,7011.9,7011.9,554.2,4177.78,79.55,599.3,4246.57,1869.14,569.57,860.69,10394.26,962.58
48,946.03,601.3,614.77,10929.33,1023.28,3169.05,14426.9,618.2,618.2,8633.1,829.85,745.43,2961.53,12922.2,2751.93,2887.59,553.98,8081.1,8081.1,8081.1,515.8,521.6,58.38,690.83,864.69,1002.31,1950.09,515.8,2162.87,15135.6,1869.24,963.4,976.72,5059.38,702.57,7011.9,7011.9,7011.9,554.2,4181.14,79.55,599.3,4229.4,1869.14,569.57,860.69,10394.26,962.58
