"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2017","881.41","879.77","881.84","869.76","","-0.18%"
"03/24/2017","882.97","886.20","886.43","878.82","","-0.36%"
"03/23/2017","886.18","877.90","887.00","874.70","","0.94%"
"03/22/2017","877.90","884.31","884.31","869.70","","-0.72%"
"03/21/2017","884.31","881.72","896.44","881.56","","0.40%"
"03/20/2017","880.81","884.39","886.01","879.39","","-0.40%"
"03/17/2017","884.38","884.53","894.24","881.70","","-0.01%"
"03/16/2017","884.48","879.82","892.25","879.82","","0.81%"
"03/15/2017","877.40","874.25","878.74","871.94","","0.36%"
"03/14/2017","874.25","884.33","885.67","871.32","","-1.14%"
"03/13/2017","884.33","886.85","888.52","883.03","","-0.29%"
"03/10/2017","886.88","881.27","891.82","881.27","","0.63%"
"03/09/2017","881.36","868.09","884.10","868.09","","1.53%"
"03/08/2017","868.09","863.75","873.48","860.42","","0.46%"
"03/07/2017","864.10","866.84","868.04","859.59","","-0.28%"
"03/06/2017","866.51","871.36","874.54","864.34","","-0.64%"
"03/03/2017","872.07","855.94","875.40","854.00","","1.86%"
"03/02/2017","856.17","854.40","859.01","853.93","","0.21%"
"03/01/2017","854.39","830.42","856.82","830.42","","2.90%"
"02/28/2017","830.35","826.40","832.14","825.12","","0.48%"
"02/27/2017","826.41","826.92","832.36","826.11","","-0.06%"
"02/24/2017","826.92","837.87","839.40","819.83","","-1.31%"
"02/23/2017","837.87","840.66","846.33","834.57","","-0.32%"
"02/22/2017","840.56","838.93","845.91","832.47","","0.21%"
"02/21/2017","838.79","839.27","841.80","832.90","","-0.05%"
"02/20/2017","839.22","844.47","853.00","837.28","","-0.62%"
"02/17/2017","844.47","857.87","859.36","839.84","","-1.56%"
"02/16/2017","857.82","862.21","863.16","855.77","","-0.50%"
"02/15/2017","862.11","853.06","866.79","853.06","","1.08%"
"02/14/2017","852.88","846.73","852.88","842.39","","0.73%"
"02/13/2017","846.73","839.31","849.97","839.31","","0.90%"
"02/10/2017","839.19","843.73","848.66","836.80","","-0.54%"
"02/09/2017","843.71","837.85","845.86","837.56","","1.07%"
"02/08/2017","834.76","843.42","845.36","824.46","","-1.03%"
"02/07/2017","843.42","856.86","856.97","842.32","","-1.57%"
"02/06/2017","856.86","869.96","874.65","856.86","","-1.51%"
"02/03/2017","869.96","861.77","873.07","861.77","","0.95%"
"02/02/2017","861.77","867.76","869.28","860.60","","-0.71%"
"02/01/2017","867.93","855.39","870.64","855.39","","1.47%"
"01/31/2017","855.39","862.59","872.96","855.39","","-0.85%"
"01/30/2017","862.69","874.04","874.04","859.75","","-1.30%"
"01/27/2017","874.04","877.06","877.35","869.53","","-0.35%"
"01/26/2017","877.14","878.85","888.87","876.31","","-0.19%"
"01/25/2017","878.85","859.31","882.26","859.31","","2.28%"
"01/24/2017","859.29","854.61","860.17","854.61","","0.60%"
"01/23/2017","854.18","862.17","862.17","851.38","","-1.04%"
"01/20/2017","863.15","863.84","867.65","858.57","","-0.08%"
"01/19/2017","863.80","864.07","870.26","861.56","","-0.03%"
"01/18/2017","864.04","871.12","872.61","859.63","","-0.79%"
"01/17/2017","870.89","876.54","880.78","869.11","","-0.64%"
"01/16/2017","876.54","886.06","886.47","874.49","","-1.26%"
"01/13/2017","887.74","871.86","889.37","871.86","","1.85%"
"01/12/2017","871.61","875.11","880.27","870.52","","-0.48%"
"01/11/2017","875.80","877.00","879.28","871.13","","-0.14%"
"01/10/2017","876.99","880.90","881.43","873.20","","-0.42%"
"01/09/2017","880.68","893.62","894.29","876.45","","-1.45%"
"01/06/2017","893.62","889.25","895.13","886.47","","0.44%"
"01/05/2017","889.69","893.95","895.88","884.86","","-0.48%"
"01/04/2017","893.95","889.34","897.37","888.42","","0.53%"
"01/03/2017","889.27","876.01","894.39","876.01","","1.51%"
"01/02/2017","876.01","872.17","878.62","868.89","","0.35%"
"12/30/2016","872.92","866.64","873.98","864.85","","0.72%"
"12/29/2016","866.64","870.84","870.84","864.48","","-0.48%"
"12/28/2016","870.85","873.55","874.39","868.22","","-0.31%"
"12/27/2016","873.58","873.05","874.78","872.19","","0.06%"
"12/23/2016","873.05","875.52","879.04","872.07","","-0.23%"
"12/22/2016","875.02","873.10","877.37","871.75","","0.20%"
"12/21/2016","873.28","874.08","876.98","868.54","","-0.10%"
"12/20/2016","874.18","865.05","874.77","863.39","","1.05%"
"12/19/2016","865.07","869.57","870.45","863.86","","-0.52%"
"12/16/2016","869.56","871.79","876.66","867.46","","-0.28%"
"12/15/2016","871.97","856.53","874.07","856.53","","1.95%"
"12/14/2016","855.32","863.35","868.02","855.14","","-0.93%"
"12/13/2016","863.31","858.03","865.72","851.53","","0.63%"
"12/12/2016","857.88","859.70","866.52","856.98","","-0.21%"
"12/09/2016","859.71","862.72","863.43","857.27","","-0.35%"
"12/08/2016","862.74","852.28","867.86","848.86","","1.23%"
"12/07/2016","852.28","834.07","852.42","834.07","","2.19%"
"12/06/2016","834.00","810.78","836.98","810.78","","2.86%"
"12/05/2016","810.78","799.87","812.92","791.91","","1.41%"
"12/02/2016","799.47","807.17","807.17","796.02","","-1.01%"
"12/01/2016","807.66","802.79","809.46","800.31","","0.61%"
"11/30/2016","802.79","797.91","805.81","794.70","","0.61%"
"11/29/2016","797.90","791.37","798.75","786.38","","0.82%"
"11/28/2016","791.41","801.60","801.60","788.95","","-1.31%"
"11/25/2016","801.93","804.17","805.82","799.72","","-0.28%"
"11/24/2016","804.17","805.68","809.46","801.68","","-0.19%"
"11/23/2016","805.68","809.51","810.86","800.38","","-0.47%"
"11/22/2016","809.51","796.09","816.46","796.09","","1.69%"
"11/21/2016","796.09","796.63","800.29","792.20","","-0.07%"
"11/18/2016","796.63","799.29","805.57","792.90","","-0.33%"
"11/17/2016","799.29","796.29","799.29","790.12","","0.38%"
"11/16/2016","796.29","805.16","808.81","792.05","","-1.10%"
"11/15/2016","805.16","804.94","807.64","798.88","","0.03%"
"11/14/2016","804.90","797.85","811.39","797.85","","0.97%"
"11/11/2016","797.16","798.84","808.24","791.67","","-0.21%"
"11/10/2016","798.84","791.02","812.21","791.02","","0.99%"
"11/09/2016","791.03","776.11","791.03","748.02","","1.82%"
"11/08/2016","776.89","767.25","778.32","767.25","","1.26%"
"11/07/2016","767.26","749.51","767.26","749.51","","2.38%"
"11/04/2016","749.43","761.28","761.28","746.43","","-1.56%"
"11/03/2016","761.28","752.95","770.41","751.52","","1.08%"
"11/02/2016","753.15","768.04","768.04","752.98","","-2.00%"
"11/01/2016","768.55","773.66","776.96","766.89","","-0.66%"
"10/31/2016","773.66","780.77","780.77","772.19","","-0.90%"
"10/28/2016","780.71","780.21","781.22","770.29","","0.04%"
"10/27/2016","780.40","779.08","782.44","774.18","","0.18%"
"10/26/2016","779.02","782.09","782.61","773.86","","-0.42%"
"10/25/2016","782.34","781.71","784.20","777.54","","0.08%"
"10/24/2016","781.72","769.15","784.57","769.15","","1.63%"
"10/21/2016","769.15","767.37","770.77","765.57","","0.23%"
"10/20/2016","767.39","760.60","767.50","757.76","","0.90%"
"10/19/2016","760.51","759.26","762.27","754.51","","0.17%"
"10/18/2016","759.25","747.65","759.97","747.65","","1.55%"
"10/17/2016","747.64","748.79","753.35","745.68","","-0.15%"
"10/14/2016","748.78","737.48","754.93","737.48","","1.53%"
"10/13/2016","737.48","751.07","751.07","733.29","","-1.81%"
"10/12/2016","751.05","749.73","753.78","746.84","","0.19%"
"10/11/2016","749.65","752.94","755.37","749.45","","-0.44%"
"10/10/2016","752.94","749.17","754.49","741.90","","0.50%"
"10/07/2016","749.18","747.49","753.34","742.78","","0.24%"
"10/06/2016","747.42","743.81","752.50","743.38","","0.54%"
"10/05/2016","743.39","734.62","744.95","728.63","","1.19%"
"10/04/2016","734.64","731.20","739.14","730.32","","0.47%"
"10/03/2016","731.20","734.25","735.60","726.82","","-0.40%"
"09/30/2016","734.13","731.02","735.36","708.85","","0.43%"
"09/29/2016","731.02","733.26","741.12","729.11","","-0.30%"
"09/28/2016","733.19","728.55","738.73","728.55","","0.70%"
"09/27/2016","728.11","732.60","737.52","721.44","","-0.49%"
"09/26/2016","731.66","747.38","747.38","729.64","","-2.18%"
"09/23/2016","747.96","749.99","749.99","744.09","","-0.28%"
"09/22/2016","750.08","736.69","753.89","736.69","","1.90%"
"09/21/2016","736.07","727.44","742.97","727.44","","1.41%"
"09/20/2016","725.80","726.05","730.36","722.60","","-0.04%"
"09/19/2016","726.09","720.60","729.51","720.60","","0.76%"
"09/16/2016","720.60","728.68","730.48","719.08","","-1.11%"
"09/15/2016","728.68","724.86","731.14","722.56","","0.48%"
"09/14/2016","725.20","727.96","732.31","723.85","","-0.38%"
"09/13/2016","727.94","738.62","744.01","727.94","","-1.44%"
"09/12/2016","738.61","751.85","751.85","731.91","","-1.76%"
"09/09/2016","751.85","753.59","760.70","749.86","","-0.27%"
"09/08/2016","753.86","746.64","754.86","739.67","","0.97%"
"09/07/2016","746.60","741.63","747.51","736.24","","0.67%"
"09/06/2016","741.63","746.57","750.16","741.20","","-0.66%"
"09/05/2016","746.57","749.15","753.34","745.35","","-0.35%"
"09/02/2016","749.20","739.82","749.87","735.68","","1.27%"
"09/01/2016","739.82","733.60","749.81","733.60","","0.85%"
"08/31/2016","733.60","725.51","739.99","725.51","","1.13%"
"08/30/2016","725.43","717.14","728.24","717.14","","1.24%"
"08/29/2016","716.52","719.02","722.25","713.71","","-0.35%"
"08/26/2016","719.02","716.28","721.02","712.72","","0.38%"
"08/25/2016","716.28","718.95","718.95","711.30","","-0.41%"
"08/24/2016","719.26","713.54","723.33","707.92","","0.76%"
"08/23/2016","713.87","703.43","716.30","703.43","","1.48%"
"08/22/2016","703.43","700.22","710.00","698.94","","0.45%"
"08/19/2016","700.31","710.45","710.74","695.74","","-1.43%"
"08/18/2016","710.45","709.37","713.39","706.87","","0.16%"
"08/17/2016","709.32","717.34","721.23","709.32","","-1.11%"
"08/16/2016","717.27","724.27","724.27","714.38","","-1.02%"
"08/15/2016","724.64","726.07","728.98","723.67","","-0.19%"
"08/12/2016","726.02","727.03","728.83","723.99","","-0.15%"
"08/11/2016","727.10","723.90","727.79","719.86","","0.44%"
"08/10/2016","723.89","720.81","725.84","716.79","","0.41%"
"08/09/2016","720.92","715.10","721.18","712.49","","0.81%"
"08/08/2016","715.10","708.41","720.23","708.41","","0.95%"
"08/05/2016","708.40","695.55","708.70","695.55","","1.91%"
"08/04/2016","695.13","688.05","699.29","688.05","","1.15%"
"08/03/2016","687.20","690.79","697.35","682.31","","-0.18%"
"08/02/2016","688.46","704.36","704.36","686.24","","-2.32%"
"08/01/2016","704.78","710.38","719.64","702.41","","-0.79%"
"07/29/2016","710.38","697.52","711.74","697.52","","2.02%"
"07/28/2016","696.31","706.11","712.54","695.83","","-1.39%"
"07/27/2016","706.11","697.98","709.18","697.98","","1.18%"
"07/26/2016","697.87","699.79","700.52","691.36","","-0.29%"
"07/25/2016","699.88","700.10","703.99","696.20","","-0.03%"
"07/22/2016","700.08","697.22","700.94","694.31","","0.36%"
"07/21/2016","697.54","698.26","702.80","691.96","","-0.10%"
"07/20/2016","698.26","690.39","700.57","690.39","","1.14%"
"07/19/2016","690.39","692.31","695.62","682.79","","-0.28%"
"07/18/2016","692.31","693.77","701.21","687.53","","-0.21%"
"07/15/2016","693.77","696.43","702.45","688.70","","-0.45%"
"07/14/2016","696.93","684.24","699.49","684.23","","1.85%"
"07/13/2016","684.24","690.83","694.10","682.71","","-0.94%"
"07/12/2016","690.73","672.10","692.25","672.10","","2.81%"
"07/11/2016","671.83","663.14","673.15","661.00","","1.31%"
"07/08/2016","663.14","642.61","665.87","638.79","","3.17%"
"07/07/2016","642.79","639.73","652.38","639.73","","0.53%"
"07/06/2016","639.37","652.59","652.68","634.74","","-2.11%"
"07/05/2016","653.16","669.23","669.23","650.21","","-2.40%"
"07/04/2016","669.23","678.98","679.61","666.89","","-1.43%"
"07/01/2016","678.97","673.66","682.19","670.17","","0.79%"
"06/30/2016","673.66","670.62","677.26","663.04","","0.45%"
"06/29/2016","670.62","654.85","672.90","654.85","","2.41%"
"06/28/2016","654.85","638.85","662.43","638.82","","2.75%"
"06/27/2016","637.30","672.68","674.40","628.49","","-5.26%"
"06/24/2016","672.68","762.29","762.29","654.53","","-11.76%"
"06/23/2016","762.32","744.24","763.61","744.24","","2.43%"
"06/22/2016","744.27","740.81","750.16","740.81","","0.47%"
"06/21/2016","740.78","734.29","742.85","732.88","","0.89%"
"06/20/2016","734.28","714.13","736.52","714.13","","3.14%"
"06/17/2016","711.96","694.70","713.82","694.70","","2.48%"
"06/16/2016","694.70","700.45","700.45","687.28","","-0.82%"
"06/15/2016","700.45","697.42","710.81","697.42","","0.43%"
"06/14/2016","697.42","710.81","710.81","696.04","","-1.99%"
"06/13/2016","711.58","730.07","730.07","711.58","","-2.53%"
"06/10/2016","730.08","752.11","752.11","728.32","","-2.93%"
"06/09/2016","752.11","759.17","759.17","751.29","","-0.96%"
"06/08/2016","759.42","766.32","766.32","756.95","","-0.90%"
"06/07/2016","766.32","759.51","770.43","759.51","","0.92%"
"06/06/2016","759.37","758.81","764.57","756.77","","0.03%"
"06/03/2016","759.13","772.67","777.40","755.50","","-1.76%"
"06/02/2016","772.72","776.65","779.17","767.98","","-0.56%"
"06/01/2016","777.04","780.39","781.11","768.68","","-0.43%"
"05/31/2016","780.39","786.41","788.82","777.92","","-0.73%"
"05/30/2016","786.11","784.55","786.79","782.41","","0.20%"
"05/27/2016","784.55","789.97","789.97","780.06","","-0.72%"
"05/26/2016","790.25","783.01","790.25","778.27","","0.91%"
"05/25/2016","783.15","773.23","783.73","771.39","","1.30%"
"05/24/2016","773.12","749.97","774.69","746.42","","3.05%"
"05/23/2016","750.24","750.70","756.12","743.82","","-0.06%"
"05/20/2016","750.70","743.04","752.73","743.04","","1.03%"
"05/19/2016","743.04","743.20","750.53","738.55","","-0.02%"
"05/18/2016","743.19","739.45","743.35","732.26","","0.44%"
"05/17/2016","739.95","737.35","750.17","735.92","","0.35%"
"05/16/2016","737.35","738.04","738.14","731.09","","-0.17%"
"05/13/2016","738.60","732.38","740.63","725.13","","0.85%"
"05/12/2016","732.36","740.08","742.26","729.39","","-1.10%"
"05/11/2016","740.47","745.14","745.97","735.07","","-0.62%"
"05/10/2016","745.12","742.49","750.76","740.99","","0.35%"
"05/09/2016","742.49","739.45","751.22","739.00","","0.47%"
"05/06/2016","739.03","746.50","746.50","728.53","","-1.00%"
"05/05/2016","746.50","751.80","754.99","744.27","","-0.70%"
"05/04/2016","751.80","757.33","762.59","750.87","","-0.52%"
"05/03/2016","755.71","767.20","772.92","755.46","","-1.50%"
"05/02/2016","767.20","766.02","771.80","761.87","","0.15%"
"04/29/2016","766.02","784.79","784.79","764.60","","-2.39%"
"04/28/2016","784.79","779.96","784.79","772.18","","0.47%"
"04/27/2016","781.09","783.52","786.78","778.30","","-0.32%"
"04/26/2016","783.58","775.28","786.50","775.28","","1.07%"
"04/25/2016","775.28","783.62","785.83","772.44","","-1.06%"
"04/22/2016","783.56","781.54","786.12","780.92","","0.09%"
"04/21/2016","782.85","782.45","788.53","781.50","","0.05%"
"04/20/2016","782.45","771.97","783.66","768.31","","1.36%"
"04/19/2016","771.97","768.78","779.22","768.78","","0.45%"
"04/18/2016","768.54","765.36","770.05","754.77","","0.42%"
"04/15/2016","765.35","768.83","768.83","760.62","","-0.45%"
"04/14/2016","768.83","767.53","773.62","763.01","","0.17%"
"04/13/2016","767.50","736.02","767.50","736.02","","4.34%"
"04/12/2016","735.59","729.38","740.88","726.92","","0.85%"
"04/11/2016","729.38","723.29","734.72","718.72","","0.85%"
"04/08/2016","723.20","711.41","726.48","711.41","","1.65%"
"04/07/2016","711.45","724.05","726.53","708.42","","-1.74%"
"04/06/2016","724.07","721.80","728.21","718.15","","0.32%"
"04/05/2016","721.77","736.76","736.76","718.98","","-2.14%"
"04/04/2016","737.58","737.60","745.40","731.21","","0.01%"
"04/01/2016","737.52","743.30","743.30","731.34","","-0.78%"
"03/31/2016","743.30","745.94","745.94","733.77","","-0.35%"
"03/30/2016","745.93","740.88","751.85","740.88","","0.74%"
"03/29/2016","740.44","738.03","749.35","737.18","","0.33%"
"03/24/2016","738.03","753.10","753.10","737.26","","-2.00%"
"03/23/2016","753.10","761.28","765.02","748.69","","-1.09%"
"03/22/2016","761.37","766.42","766.42","752.37","","-0.66%"
"03/21/2016","766.42","768.52","776.07","761.18","","-0.26%"
"03/18/2016","768.43","764.53","771.28","758.20","","0.51%"
"03/17/2016","764.53","771.60","777.50","751.85","","-0.86%"
"03/16/2016","771.14","772.39","778.60","766.55","","-0.16%"
"03/15/2016","772.39","778.00","778.00","766.74","","-0.72%"
"03/14/2016","778.01","777.82","785.64","775.55","","0.02%"
"03/11/2016","777.82","743.58","777.97","743.58","","4.60%"
"03/10/2016","743.58","744.96","777.75","740.74","","-0.16%"
"03/09/2016","744.78","743.56","753.00","742.75","","0.16%"
"03/08/2016","743.56","749.55","750.68","733.97","","-0.80%"
"03/07/2016","749.55","758.03","758.54","744.60","","-1.12%"
"03/04/2016","758.03","754.53","762.32","750.52","","0.46%"
"03/03/2016","754.53","752.38","757.91","750.88","","0.28%"
"03/02/2016","752.40","738.51","753.13","738.51","","1.88%"
"03/01/2016","738.49","725.93","738.73","721.32","","1.75%"
"02/29/2016","725.76","719.51","726.12","712.01","","0.76%"
"02/26/2016","720.30","707.38","723.38","707.38","","1.94%"
"02/25/2016","706.62","692.88","711.68","692.88","","1.98%"
"02/24/2016","692.88","707.43","707.43","689.13","","-2.06%"
"02/23/2016","707.43","719.91","724.25","706.71","","-1.73%"
"02/22/2016","719.91","706.06","720.83","706.06","","2.04%"
