"Date","Price","Open","High","Low","Vol.","Change %"
"2024-02-27","8,198.24","8,228.20","8,228.20","8,165.76","61.12M","-0.24%"
"2024-02-26","8,217.98","8,274.67","8,313.06","8,208.00","61.62M","-0.69%"
"2024-02-23","8,274.67","8,222.68","8,292.94","8,222.68","30.90M","0.63%"
"2024-02-22","8,222.68","8,146.38","8,248.82","8,146.38","42.33M","0.94%"
"2024-02-21","8,145.95","8,203.82","8,203.82","8,126.82","41.48M","-0.71%"
"2024-02-20","8,203.82","8,180.04","8,229.17","8,149.74","59.17M","0.29%"
"2024-02-16","8,180.04","8,173.34","8,216.36","8,167.00","31.04M","0.08%"
"2024-02-15","8,173.34","8,088.55","8,199.43","8,088.55","46.15M","1.62%"
"2024-02-14","8,043.05","7,905.66","8,043.43","7,905.66","32.30M","1.74%"
"2024-02-13","7,905.66","8,057.52","8,057.52","7,849.37","41.88M","-1.88%"
"2024-02-12","8,057.52","8,016.59","8,082.41","8,015.19","38.41M","0.51%"
"2024-02-09","8,016.59","7,957.34","8,020.51","7,936.02","23.95M","0.74%"
"2024-02-08","7,957.34","8,004.68","8,004.68","7,889.01","30.57M","-0.59%"
"2024-02-07","8,004.68","8,016.84","8,023.78","7,966.30","30.10M","-0.15%"
"2024-02-06","8,016.84","7,972.38","8,023.44","7,965.20","32.63M","0.56%"
"2024-02-05","7,972.38","8,026.56","8,026.56","7,942.97","42.19M","-0.68%"
"2024-02-02","8,026.56","8,031.37","8,034.85","7,960.56","27.19M","-0.06%"
"2024-02-01","8,031.37","8,048.80","8,065.02","7,947.10","28.73M","-0.22%"
"2024-01-31","8,048.80","8,138.54","8,153.53","8,043.28","43.38M","-1.10%"
"2024-01-30","8,138.54","8,125.55","8,156.85","8,103.06","34.37M","0.16%"
"2024-01-29","8,125.55","8,109.61","8,128.00","8,054.96","38.23M","0.31%"
"2024-01-26","8,100.20","8,092.47","8,105.39","8,076.16","38.98M","0.10%"
"2024-01-25","8,092.47","8,064.18","8,095.95","8,054.12","35.08M","0.35%"
"2024-01-24","8,064.18","8,035.75","8,091.59","8,035.75","55.44M","0.56%"
"2024-01-23","8,019.06","8,014.81","8,052.66","7,997.82","33.13M","0.05%"
"2024-01-22","8,014.81","7,983.16","8,018.24","7,970.00","47.75M","0.40%"
"2024-01-19","7,983.16","7,886.05","7,989.34","7,866.54","39.02M","1.23%"
"2024-01-18","7,886.05","7,854.14","7,904.67","7,852.02","39.84M","0.41%"
"2024-01-17","7,854.14","7,925.62","7,925.62","7,814.95","49.18M","-0.85%"
"2024-01-16","7,921.72","7,932.84","7,932.84","7,853.77","47.75M","-0.14%"
"2024-01-15","7,932.84","7,905.89","7,940.17","7,874.72","20.97M","0.34%"
"2024-01-12","7,905.89","7,934.59","7,989.85","7,894.41","49.90M","-0.36%"
"2024-01-11","7,934.59","8,008.73","8,008.73","7,889.40","46.07M","-0.93%"
"2024-01-10","8,008.73","8,038.47","8,060.55","8,008.14","36.88M","-0.37%"
"2024-01-09","8,038.47","8,132.57","8,132.57","8,015.10","48.06M","-0.96%"
"2024-01-08","8,116.47","8,051.30","8,116.47","8,046.69","50.90M","0.81%"
"2024-01-05","8,051.30","8,009.62","8,070.94","7,992.29","39.37M","0.52%"
"2024-01-04","8,009.62","7,973.60","8,051.50","7,964.32","42.43M","0.45%"
"2024-01-03","7,973.60","8,030.79","8,030.79","7,947.38","37.79M","-0.71%"
"2024-01-02","8,030.79","8,081.05","8,081.05","8,007.69","69.02M","-0.48%"
"2023-12-29","8,069.90","8,047.90","8,074.60","8,033.56","28.18M","0.27%"
"2023-12-28","8,047.90","8,062.94","8,085.63","8,035.17","37.02M","-0.15%"
"2023-12-27","8,059.71","8,010.26","8,089.87","8,006.50","35.24M","0.71%"
"2023-12-22","8,003.12","7,956.15","8,017.21","7,956.15","32.74M","0.59%"
"2023-12-21","7,956.15","7,891.89","7,983.59","7,891.89","52.39M","0.85%"
"2023-12-20","7,888.82","7,955.39","7,986.22","7,888.82","49.05M","-0.83%"
"2023-12-19","7,955.11","7,855.88","7,960.60","7,855.88","35.06M","1.26%"
"2023-12-18","7,855.79","7,823.90","7,874.00","7,823.90","43.17M","0.41%"
"2023-12-15","7,823.90","7,892.21","7,909.48","7,809.08","140.95M","-0.87%"
"2023-12-14","7,892.21","7,793.69","7,905.97","7,793.69","70.35M","1.29%"
"2023-12-13","7,791.94","7,648.98","7,791.94","7,593.09","53.38M","1.87%"
"2023-12-12","7,648.98","7,653.14","7,656.17","7,617.76","41.88M","-0.05%"
"2023-12-11","7,653.14","7,609.62","7,657.78","7,582.84","45.65M","0.57%"
"2023-12-08","7,609.62","7,562.12","7,623.03","7,562.12","37.01M","0.68%"
"2023-12-07","7,558.59","7,578.14","7,578.14","7,528.05","40.96M","0.00%"
"2023-12-06","7,558.42","7,557.09","7,630.96","7,556.28","39.53M","0.02%"
"2023-12-05","7,557.09","7,545.84","7,574.17","7,518.49","42.86M","0.15%"
"2023-12-04","7,545.84","7,534.82","7,560.40","7,490.13","41.94M","0.15%"
"2023-12-01","7,534.82","7,476.12","7,536.73","7,434.31","44.27M","0.66%"
"2023-11-30","7,485.36","7,400.06","7,488.07","7,400.06","83.77M","1.15%"
"2023-11-29","7,400.06","7,311.52","7,423.44","7,311.52","44.32M","1.26%"
"2023-11-28","7,307.89","7,365.96","7,365.96","7,247.46","49.75M","-0.74%"
"2023-11-27","7,362.07","7,389.07","7,389.07","7,345.17","37.07M","-0.37%"
"2023-11-24","7,389.07","7,383.63","7,416.91","7,366.27","23.16M","0.07%"
"2023-11-23","7,383.63","7,386.86","7,422.93","7,383.63","13.60M","-0.04%"
"2023-11-22","7,386.86","7,397.37","7,430.93","7,360.11","47.02M","-0.14%"
"2023-11-21","7,397.37","7,462.97","7,470.00","7,395.14","54.09M","-0.80%"
"2023-11-20","7,457.30","7,426.44","7,469.10","7,399.90","27.53M","0.42%"
"2023-11-17","7,426.44","7,383.57","7,443.51","7,383.57","45.56M","0.58%"
"2023-11-16","7,383.50","7,386.00","7,400.48","7,361.86","36.64M","-0.02%"
"2023-11-15","7,384.91","7,352.90","7,412.29","7,352.90","46.79M","0.44%"
"2023-11-14","7,352.90","7,194.63","7,366.39","7,194.63","39.23M","2.20%"
"2023-11-13","7,194.63","7,178.31","7,231.63","7,156.59","23.27M","0.23%"
"2023-11-10","7,178.31","7,157.74","7,185.95","7,131.59","22.11M","0.29%"
"2023-11-09","7,157.74","7,120.04","7,226.89","7,120.04","37.93M","0.53%"
"2023-11-08","7,119.98","7,104.52","7,150.94","7,097.88","25.01M","0.22%"
"2023-11-07","7,104.52","7,151.73","7,151.73","7,095.68","35.57M","-0.66%"
"2023-11-06","7,151.73","7,163.48","7,207.29","7,124.27","34.48M","-0.16%"
"2023-11-03","7,163.48","7,068.11","7,195.01","7,068.11","39.77M","1.35%"
"2023-11-02","7,068.11","6,868.22","7,073.22","6,868.22","35.58M","2.91%"
"2023-11-01","6,868.22","6,802.72","6,871.78","6,796.71","36.52M","0.96%"
"2023-10-31","6,802.72","6,786.31","6,818.40","6,761.76","37.86M","0.24%"
"2023-10-30","6,786.31","6,693.63","6,816.51","6,693.63","34.29M","1.38%"
"2023-10-27","6,693.63","6,799.91","6,808.07","6,674.38","31.83M","-1.43%"
"2023-10-26","6,791.04","6,746.38","6,824.80","6,725.09","38.53M","0.66%"
"2023-10-25","6,746.38","6,776.51","6,799.14","6,716.33","41.90M","-0.21%"
"2023-10-24","6,760.60","6,813.13","6,833.96","6,732.25","41.32M","-0.77%"
"2023-10-23","6,813.13","6,813.28","6,879.80","6,773.08","41.38M","0.00%"
"2023-10-20","6,813.28","6,954.16","6,954.16","6,812.44","43.63M","-2.03%"
"2023-10-19","6,954.16","7,023.53","7,039.20","6,946.33","26.46M","-0.99%"
"2023-10-18","7,023.53","7,153.00","7,153.00","7,020.98","29.88M","-1.81%"
"2023-10-17","7,153.00","7,144.08","7,198.86","7,108.80","34.95M","0.12%"
"2023-10-16","7,144.08","7,065.21","7,146.55","7,065.21","43.61M","1.12%"
"2023-10-13","7,065.21","7,122.92","7,178.09","7,054.94","24.73M","-0.81%"
"2023-10-12","7,122.92","7,185.45","7,191.93","7,092.40","23.61M","-0.87%"
"2023-10-11","7,185.45","7,099.75","7,193.97","7,099.75","44.63M","1.21%"
"2023-10-10","7,099.75","7,045.80","7,119.39","7,045.80","47.66M","0.77%"
"2023-10-06","7,045.80","7,017.40","7,057.14","6,907.57","33.33M","0.41%"
"2023-10-05","7,017.34","6,983.95","7,022.22","6,965.53","37.85M","0.69%"
"2023-10-04","6,969.10","6,922.17","6,969.91","6,856.40","43.18M","0.68%"
"2023-10-03","6,922.17","7,025.31","7,025.31","6,902.11","58.10M","-1.47%"
"2023-10-02","7,025.31","7,156.10","7,156.94","7,021.98","47.08M","-1.83%"
"2023-09-29","7,156.10","7,192.69","7,229.98","7,151.75","39.21M","-0.36%"
"2023-09-28","7,182.01","7,103.89","7,200.47","7,099.13","43.16M","1.15%"
"2023-09-27","7,100.22","7,186.43","7,203.14","7,085.28","40.52M","-1.11%"
"2023-09-26","7,179.72","7,262.56","7,262.56","7,173.93","40.81M","-1.14%"
"2023-09-25","7,262.56","7,272.85","7,286.06","7,224.86","44.56M","-0.14%"
"2023-09-22","7,272.85","7,295.77","7,317.35","7,267.77","38.88M","-0.27%"
"2023-09-21","7,292.87","7,429.93","7,429.93","7,292.87","47.68M","-1.84%"
"2023-09-20","7,429.93","7,423.08","7,469.74","7,423.08","31.87M","0.09%"
"2023-09-19","7,423.08","7,485.52","7,485.52","7,414.30","39.72M","-0.83%"
"2023-09-18","7,485.52","7,515.44","7,515.44","7,456.73","46.75M","-0.40%"
"2023-09-15","7,515.44","7,476.78","7,515.45","7,467.12","107.05M","0.52%"
"2023-09-14","7,476.78","7,384.70","7,481.81","7,384.70","48.52M","1.27%"
"2023-09-13","7,382.90","7,334.84","7,403.20","7,334.84","34.01M","0.66%"
"2023-09-12","7,334.57","7,321.26","7,355.29","7,301.91","33.59M","0.18%"
"2023-09-11","7,321.26","7,247.01","7,332.76","7,240.66","25.92M","1.02%"
"2023-09-08","7,247.01","7,254.37","7,263.39","7,213.20","22.76M","-0.10%"
"2023-09-07","7,254.37","7,298.15","7,311.09","7,249.95","43.51M","-0.60%"
